Artist,PlayCount
Massive Attack,17
New Radicals,17
Rob Thomas,17
Soul Asylum,17
The Barden Bellas,17
The Fray,17
The Runaways,17
The Used,17
Tom Petty,17
Yazoo,17
30 Seconds to Mars,16
4 Non Blondes,16
Amy Studt,16
Anastacia,16
Aztec Camera,16
Beady Eye,16
Belly,16
Bing Crosby,16
Black Lace,16
Buzzcocks,16
Circa Waves,16
Cyndi Lauper,16
Death Cab for Cutie,16
First Aid Kit,16
Freddie Mercury,16
Go West,16
Jane's Addiction,16
Liam Gallagher,16
Måns Zelmerlöw,16
Marilyn Manson,16
Mental As Anything,16
Modest Mouse,16
Nat King Cole,16
Nine Inch Nails,16
Panic! at the Disco,16
Redbone,16
Sex Bob-Omb,16
Simple Plan,16
Slade,16
Squeeze,16
Stiff Little Fingers,16
Stone Sour,16
Sugarland,16
TLC,16
10cc,15
Alisha's Attic,15
Ben Folds Five,15
Carly Simon,15
Cornershop,15
Dario G,15
Goldfrapp,15
Grant Nicholas,15
Hell Is For Heroes,15
Iggy Pop,15
Inspiral Carpets,15
Kraftwerk,15
Lou Bega,15
M,15
Morrissey,15
Mumm-Ra,15
Nelly,15
Owl City,15
Self Esteem,15
Steve Miller Band,15
Suzanne Vega,15
Teenage Fanclub,15
The Allman Brothers Band,15
The Music,15
The Presidents of the United States of America,15
Tool,15
Traveling Wilburys,15
Blue Öyster Cult,14
Caesars,14
Carly Rae Jepsen,14
Clean Bandit,14
Delphic,14
Fragma,14
George Harrison,14
Jeff Buckley,14
Jem,14
Joan Armatrading,14
John Legend,14
Kim Wilde,14
Lindisfarne,14
Lionel Richie,14
Nena,14
Rainbow,14
Shaggy,14
The Cult,14
Thompson Twins,14
Vitamin String Quartet,14
Wet Wet Wet,14
Whitney Houston,14
All Saints,13
Blake Shelton,13
Cheap Trick,13
Chris Cornell,13
Chuck Berry,13
Corona,13
Crash Test Dummies,13
D:Ream,13
Danny Elfman,13
Daughtry,13
Dave Brubeck,13
Derek and the Dominos,13
Elvin Bishop,13
Garfunkel and Oates,13
Happy Mondays,13
Kansas,13
Lewis Capaldi,13
Lucie Silvas,13
Mary J. Blige,13
Matt Monro,13
Mercury Rev,13
Michael Sembello,13
N.W.A,13
Phantom Planet,13
Public Service Broadcasting,13
Reverend and the Makers,13
Rick Astley,13
Roy Orbison,13
Sex Pistols,13
Shannon Noll,13
Steel Panther,13
t.A.T.u.,13
The Band,13
The Buggles,13
The Jackson 5,13
The Magic Numbers,13
The Neighbourhood,13
The Romantics,13
The Turtles,13
The Velvet Underground,13
The Wonder Stuff,13
Ultravox,13
2Pac,12
Adam Levine,12
Andy Williams,12
Art Brut,12
"Baddiel, Skinner & The Lightning Seeds",12
Bishop Allen,12
British Sea Power,12
Bromheads Jacket,12
Cage the Elephant,12
Chesney Hawkes,12
Culture Club,12
D12,12
Dan Le Sac vs Scroobius Pip,12
Duffy,12
Finch,12
Genesis,12
Hot Chocolate,12
Jona Lewie,12
Kelis,12
Kenny Rogers & Dolly Parton,12
La La Land Cast,12
Lady Antebellum,12
Ludovic Bource,12
Mahna Mahna and The Two Snowths,12
Mandy Moore,12
Noisettes,12
Orson,12
Peter Gabriel,12
Roachford,12
Robert Miles,12
Roddy Woomble,12
Ronan Keating,12
Röyksopp,12
Shakin' Stevens,12
Siouxsie and the Banshees,12
Stephen Lynch,12
The Black Crowes,12
The Mighty Mighty Bosstones,12
The Ordinary Boys,12
The Rifles,12
Violent Femmes,12
Young Knives,12
A*Teens,11
Alan Silvestri,11
Aliotta Haynes Jeremiah,11
All the Young,11
Alphabeat,11
Bran Van 3000,11
Carpenters,11
Carter the Unstoppable Sex Machine,11
Chase & Status,11
Chic,11
Chris de Burgh,11
Dead or Alive,11
Deep Purple,11
Donna Summer,11
Echobelly,11
EMF,11
Emma Stone,11
Fun Lovin' Criminals,11
Gabriella Cilmi,11
Haddaway,11
Jason Segel,11
Jay-Z and Linkin Park,11
John Denver,11
KC and The Sunshine Band,11
Kristen Bell,11
L7,11
Larkin Poe,11
LCD Soundsystem,11
Looking Glass,11
Loreen,11
Mud,11
Neil Young,11
Prefab Sprout,11
Red Light Company,11
Robin Sparkles,11
Staind,11
Super Furry Animals,11
Terrorvision,11
The Cars,11
The Raconteurs,11
The Raspberries,11
The Streets,11
Tiffany,11
Tom Petty and The Heartbreakers,11
Trent Reznor and Atticus Ross,11
Ugly Kid Joe,11
+44,10
Aqualung,10
Black Box,10
Carl Barât,10
Chad Kroeger,10
Chicago,10
Chicane,10
Darude,10
Destiny's Child,10
Dirty Pretty Things,10
Divinyls,10
Extreme,10
Gary Moore,10
Irene Cara,10
Jack Johnson,10
James Morrison,10
Jason Derülo,10
John Lennon,10
Kajagoogoo,10
Kele Le Roc,10
London Philharmonic Orchestra & David Parry,10
Lucy Rose,10
Magazine,10
Murray Gold,10
Philip Oakey & Giorgio Moroder,10
Quiet Riot,10
Rednex,10
Rod Stewart,10
Sade,10
Shatter Effect,10
Snap!,10
Sting,10
Talk Talk,10
The Avalanches,10
The Bluebells,10
The Drums,10
The Four Tops,10
The J. Geils Band,10
The Mock Turtles,10
The O'Jays,10
The Stranglers,10
Ultra Naté,10
Uncle Kracker,10
Walk the Moon,10
*NSYNC,9
311,9
911,9
AFI,9
America,9
ATB,9
B.o.B,9
Beverley Knight,9
Björk,9
Blackbeard's Tea Party,9
Brandon Flowers,9
Bronski Beat,9
Chris Rea,9
Christina Perri,9
CKY,9
Cream,9
Crystal Castles,9
Dario Marianelli,9
Diana Ross,9
Dream Theater,9
East 17,9
Five for Fighting,9
Funeral for a Friend,9
Gene Kelly,9
Glenn Miller,9
Gnarls Barkley,9
Hans Zimmer & James Newton Howard,9
Harry Nilsson,9
Hockey,9
Honeyz,9
Howard Shore,9
Ian Brown,9
Idina Menzel,9
Jack Garratt,9
James Bay,9
Jennifer Lopez,9
Jermaine Stewart,9
John Mayer,9
Justin Hurwitz & Tim Simonec,9
Livin' Joy,9
Mad Caddies,9
MAGIC!,9
Mansun,9
Meredith Brooks,9
Monkey Swallows the Universe,9
Mötley Crüe,9
Nothing But Thieves,9
Paul McCartney,9
REO Speedwagon,9
Richard Marx,9
Roxy Music,9
Sleeper,9
Steriogram,9
Steve Kazee,9
T-Spoon,9
The Animals,9
The Byrds,9
The Connells,9
The Dave Brubeck Quartet,9
The Five Stairsteps,9
The Mavericks,9
The Muppets,9
The Rembrandts,9
The Specials,9
The Spinners,9
The Waterboys,9
Tim McGraw,9
Tim Minchin,9
Toni Braxton,9
ZZ Top,9
A Flock of Seagulls,8
Alexander Rybak,8
Alice Deejay,8
Amateur Transplants,8
American Authors,8
Amy Adams,8
Andreas Johnson,8
Andrew W.K.,8
Atomic Kitten,8
Bachman-Turner Overdrive,8
Ben Folds,8
Black Rebel Motorcycle Club,8
Blancmange,8
Blu Cantrell,8
Broken Bells,8
Cutting Crew,8
Daniel Powter,8
DJ Jazzy Jeff & The Fresh Prince,8
DJ Sammy,8
DNCE,8
Ella Henderson,8
Elle King,8
Elvis Costello & The Attractions,8
En Vogue,8
Glen Campbell,8
Good Shoes,8
Graham Coxon,8
Guillemots,8
Hepburn,8
Hozier,8
Jamie T,8
JAY-Z,8
Joe Cocker,8
Justice,8
Kermit,8
Klaus Badelt,8
Ladyhawke,8
Lazlo Bane,8
Lemon Jelly,8
Los Lobos,8
Lucinda Williams,8
Martina McBride,8
Metronomy,8
Norman Greenbaum,8
Olivia Newton-John,8
One Direction,8
OPM,8
Passion Pit,8
Paul Young,8
Phats & Small,8
Phil Oakey,8
Rancid,8
Ricky Martin,8
Rise Against,8
Ross Copperman,8
Sam Cooke,8
Sister Hazel,8
Soul II Soul,8
Stealers Wheel,8
Steve Winwood,8
Tal Bachman,8
The Amazons,8
The Blues Brothers,8
The Damned,8
The Isley Brothers,8
The Knack,8
The Psychedelic Furs,8
The Swell Season,8
Transvision Vamp,8
Velvet Revolver,8
2 Unlimited,7
22-20s,7
A1,7
Alison Moyet,7
Anna Kendrick,7
Ariana Grande,7
Bad Religion,7
Black,7
Blue,7
Bobby Brown,7
Boy Kill Boy,7
Bryan Ferry,7
Carolina Liar,7
Cascada,7
Charles & Eddie,7
Christina Milian,7
Cold War Kids,7
Coolio,7
Daði Freyr,7
Electronic,7
Enya,7
Fiona Apple,7
Frankie Valli & the Four Seasons,7
Friendly Fires,7
Gary Numan,7
Ghosts,7
Gina G,7
Goldfinger,7
Gossip,7
Hüsker Dü,7
James Dean Bradfield,7
John Farnham,7
Jon Boden,7
Keith Urban,7
Kelly Rowland,7
La Roux,7
Laura Branigan,7
Lutricia McNeal,7
Mariah Carey,7
Meja,7
Mika,7
Mike Oldfield,7
Monaco,7
Neil Patrick Harris,7
Nina Simone,7
Nine Days,7
Otis Redding,7
Palma Violets,7
Plain White T's,7
Rick James,7
Rita Coolidge,7
Rita Ora,7
Sam Ryder,7
Sam Smith,7
Sia,7
Silver,7
Sinéad O'Connor,7
Sky Larkin,7
Stephen Fretwell,7
Steven Price,7
Stone Temple Pilots,7
The Datsuns,7
The Dream Academy,7
The Hoosiers,7
The Only Ones,7
The Reindeer Section,7
The Saw Doctors,7
The Strypes,7
The Ting Tings,7
The Wannadies,7
The Wildhearts,7
Thunder,7
Tin Tin Out,7
Toy-Box,7
Urban Cookie Collective,7
Usher,7
Utah Saints,7
Village People,7
Walter,7
Warrant,7
Whigfield,7
Alannah Myles,6
Alice in Chains,6
Alistair Griffin,6
Asia,6
Babybird,6
Babyshambles,6
Bay City Rollers,6
Bernard Herrmann,6
Bill Withers,6
Black Kids,6
Black Lips,6
Brian Tyler,6
Buddy Holly,6
Cansei de Ser Sexy,6
Chaka Khan,6
Chapel Club,6
Charmian Carr,6
Christophe Beck,6
Chubby Checker,6
Cliff Richard,6
Cloud Control,6
Colin Hay,6
Darlia,6
Devendra Banhart,6
Dina Carroll,6
Disturbed,6
Dixie Chicks,6
Dwayne Johnson,6
Eiffel 65,6
Elvis Costello,6
Flo Rida,6
Gala,6
Gavin James,6
George Baker Selection,6
Gerry Rafferty,6
Gomez,6
Gotye,6
Heather Small,6
Howie Day,6
InMe,6
Jason Segel/Walter,6
Joan Jett and the Blackhearts,6
John Parr,6
José González,6
Kenny Rogers,6
Kim Carnes,6
Korn,6
Kosheen,6
Laura Marling,6
Laura Williams,6
Lebo M And Vinx,6
Lena,6
Los Del Rio,6
Mark Morrison,6
Marvel,6
Marvin Gaye & Tammi Terrell,6
Megadeth,6
Meghan Trainor,6
Miles Davis,6
Mr. Scruff,6
Noel Gallagher,6
OMC,6
Peter Bjorn and John,6
Pitbull,6
Propellerheads,6
RJD2,6
Roger Miller,6
Sam & Dave,6
Seether,6
Shawn Mullins,6
Sigur Rós,6
Sir Mix-A-Lot,6
Sister Sledge,6
Social Distortion,6
Sophie B. Hawkins,6
Starrfadu,6
Steely Dan,6
Steppenwolf,6
Stereo MC's,6
Taylor Dayne,6
Tenpole Tudor,6
The Breeders,6
The Communards,6
The Crookes,6
The Go-Go's,6
The Hollies,6
The Pretty Reckless,6
The Primitives,6
The Seahorses,6
The Shamen,6
The Solids,6
The Von Bondies,6
Three Dog Night,6
Tokio Hotel,6
Tokyo Police Club,6
Tony Bennett,6
Vangelis,6
Will Ferrell,6
Yazz,6
5 Seconds of Summer,5
Ace Frehley,5
Alphaville,5
André Previn,5
Anne-Marie,5
Annie Lennox,5
Another Level,5
Apollo 440,5
Band Aid,5
Barry White,5
Bill Conti,5
Bill Haley & His Comets,5
Billie Myers,5
Bob Marley & The Wailers,5
Booker T. & the MG's,5
Boy Meets Girl,5
Brad Fiedel,5
Carl Davis,5
China Crisis,5
Collective Soul,5
Conchita Wurst,5
Creed,5
Cristin Milioti,5
Curiosity Killed the Cat,5
Dana International,5
Demi Lovato,5
Don McLean,5
Duke Dumont,5
Emilia,5
Emmelie de Forest,5
Emmy the Great,5
Empire of the Sun,5
Eve,5
Example,5
Faces,5
Feist,5
Finghin Collins,5
Focus,5
Fugees,5
Gary Glitter,5
Gin Blossoms,5
Gloria Gaynor,5
Harry Gregson-Williams,5
House of Pain,5
Hugh Jackman,5
James Brown,5
James Taylor,5
Janet Jackson,5
Jesus Jones,5
Jim Cummings,5
Joaquin Phoenix,5
John Debney,5
John Mellencamp,5
John Newman,5
Johnny Hates Jazz,5
Josh Gad,5
Josh Radnor,5
Judas Priest,5
Judy Kuhn,5
Julian Casablancas,5
Katie Melua,5
Killing Joke,5
Leo Sayer,5
Lionel Bart,5
Lit,5
Live,5
Living in a Box,5
London Philharmonic Orchestra,5
Lorne Balfe,5
Maia Wilson,5
Mandy Moore and Zachary Levi,5
Marshmello,5
Michael Bublé,5
Micheal Flanders,5
Millencolin,5
Minions,5
Mis-Teeq,5
Mott the Hoople,5
Nacio Herb Brown,5
Nancy Sinatra,5
Ozzy Osbourne,5
P.O.D.,5
Paul Heaton,5
Pete and the Pirates,5
"Peter, Paul & Mary",5
Pharrell Williams,5
PJ Harvey,5
Powderfinger,5
Rag'n'Bone Man,5
Ram Jam,5
Random Hand,5
Rick Springfield,5
Robin S,5
Roger Sanchez,5
Run–D.M.C.,5
Rupert Holmes,5
Ruslana,5
Sandi Thom,5
Sara Evans,5
Shirley Bassey,5
Sinéad Quinn,5
Sly & The Family Stone,5
T'Pau,5
The Blanks,5
The Drifters,5
The Four Seasons,5
The Lathums,5
The Polyphonic Spree,5
The Reytons,5
The Style Council,5
The Supremes,5
The Tears,5
The Temptations,5
The Vandals,5
The Weather Girls,5
Transplants,5
Underworld,5
Veruca Salt,5
Vic Reeves,5
Westlife,5
Wild Cherry,5
will.i.am,5
Wiz Khalifa,5
You Me at Six,5
Yusuf,5
Aaliyah,4
Alesso,4
Alex Clare,4
Alex Parks,4
All Time Low,4
Aloe Blacc,4
American Hi-Fi,4
Andrew Lloyd Webber,4
Anika Noni Rose,4
